P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6),P(topic 7),P(topic 8),P(topic 9),P(topic 10)
0.005397471310993272,0.00539751454902409,0.005397472219165891,0.005397470695796618,0.005397476229137582,0.005397473117547948,0.9514227066735487,0.00539747627491172,0.005397467203556346,0.005397471726317854
0.0055109976519129135,0.005511021565434575,0.00551099295143198,0.005510989514843786,0.005511000443437923,0.005511000146881674,0.9504009983581366,0.005511011590973235,0.0055110018000371856,0.005510985976909963
0.006193364977550834,0.006193401728404127,0.006193364651063595,0.006193380135802122,0.006193372305067423,0.006193376809815736,0.9442596259099854,0.006193375484496469,0.006193366197132754,0.006193371800681607
0.005669215412132398,0.005669229508393586,0.005669227385086165,0.005669230362274589,0.0056692244795519915,0.005669226896666883,0.9489769812901362,0.005669219688896733,0.005669221786172005,0.00566922319068935
0.004747883818583023,0.0047478888416674185,0.004747884804766594,0.00474789086746797,0.004747876809659979,0.004747868435273301,0.9572690707272674,0.004747875721011929,0.004747870866466804,0.004747889107835542
0.004301237717761945,0.004301241156911312,0.004301237602019269,0.004301241548341233,0.004301234512151021,0.004301237223542586,0.96128884227599,0.0043012367809301755,0.004301251415167104,0.004301239767185289
0.005173808447795898,0.005173793281789553,0.005173801783396053,0.00517379604888379,0.005173788334816475,0.00517379510797763,0.9534358099241083,0.005173796509216303,0.00517380442589366,0.005173806136122264
0.004761060570713998,0.004761062478969052,0.00476105980165087,0.00476106873635136,0.0047610671442356,0.004761065561198468,0.957150439911174,0.004761054058944588,0.004761068046424648,0.004761053690337482
0.004899664507851403,0.004899678053923763,0.004899664183264411,0.004899670246436764,0.004899665962971268,0.004899665297106634,0.955902983105504,0.004899668905428928,0.004899669928504959,0.004899669809007656
0.007303670456296333,0.007303674043265635,0.007303667475954957,0.007303669772236826,0.007303664066819311,0.007303669177832645,0.9342669790267545,0.007303666106587588,0.007303651364561077,0.007303688509691163
0.00556673414845169,0.0055667341686074555,0.005566736071916037,0.005566733210224469,0.00556674545452322,0.005566747930730877,0.9498993654004277,0.005566739782646336,0.005566730730061862,0.0055667331024104585
0.024983966424147325,0.02498396348286661,0.02498403916289529,0.024983964823284136,0.024983958009588733,0.024984030795741973,0.7751441183746334,0.024984010535263303,0.024983978206959422,0.02498397018461989
0.005675020000958234,0.005675038810973696,0.0056750176730230965,0.005675016371388645,0.005675027713913934,0.005675036212179647,0.9489247954327393,0.005675019136148857,0.005675012282104239,0.005675016366570367
0.005290682047148699,0.00529067402087471,0.005290677383302443,0.005290678042683684,0.005290687035318817,0.005290675461347596,0.9523839023091819,0.005290683538806864,0.005290665543595833,0.005290674617739414
0.005042035445302755,0.005042034566254896,0.0050420379142620516,0.005042058323477754,0.005042034975208514,0.005042024521392602,0.9546216743787692,0.005042031375532309,0.005042032380000195,0.005042036119799549
0.00508039360314804,0.005080407928806606,0.005080397103557831,0.005080386366134357,0.005080389146572872,0.005080389259076242,0.9542764700567685,0.0050803958201562594,0.005080389832646231,0.005080380883133098
0.005577238256477113,0.005577236603312456,0.0055772364466497295,0.005577232019443958,0.005577227830755677,0.005577227629864299,0.9498049135410739,0.005577233416356962,0.005577222990119656,0.005577231265946255
0.0063131802604665535,0.0063131665317120046,0.006313190851589664,0.006313168479276937,0.006313163368320349,0.006313158407075089,0.9431814554029776,0.006313178843343709,0.006313166891389929,0.006313170963848238
0.005903961100383202,0.005903991993681612,0.00590395824062787,0.005903942563223436,0.005903952401113556,0.0059039378016192195,0.9468644058466578,0.005903933349359226,0.005903951177393614,0.0059039655259408245
0.005351399209653314,0.0053513772660048285,0.005351392192068644,0.0053513832057712285,0.00535139521928278,0.005351382686086366,0.9518375075486654,0.005351383923490803,0.005351386565747981,0.005351392183228954
0.005074385065332058,0.005074394842729232,0.00507438591598833,0.005074396960836652,0.00507438375129364,0.005074389051716564,0.9543304933594479,0.005074389755560808,0.0050743838099967025,0.005074397487098189
0.005107911585976563,0.005107924699530492,0.00510791280740007,0.00510792516522909,0.005107917550410005,0.005107903076042118,0.9540287395029976,0.005107929937277374,0.005107919534818898,0.005107916140317912
0.007212068225372674,0.007212064068667304,0.007212067473641909,0.007212083038413564,0.007212086120672307,0.007212068006100377,0.935091330033976,0.0072120820296175375,0.007212075812816581,0.0072120751907215905
0.007808097744497662,0.0078081058390561935,0.007808102580873882,0.0078081216550929,0.007808104865400606,0.007808114648471481,0.9297270681556344,0.0078080881015960765,0.007808096399559404,0.007808100009817406
0.004849105158282838,0.0048490970510383135,0.004849100511653761,0.004849105150821143,0.004849109714685432,0.004849099882905908,0.9563580648411216,0.004849109815404394,0.004849104025658416,0.004849103848428255
0.004868168449385081,0.00486816757560105,0.004868177352546825,0.004868171540584995,0.004868171599263655,0.004868172395665778,0.956186449936813,0.0048681696346366205,0.00486816797659023,0.0048681835389127685
